period,country,country_code,ecb_rate,inflation,gdp_growth,credit_growth,year,quarter,period_str
2023Q1,Espagne,ESP,3.875,7.722,0.972,-4.038,2023,1,2023Q1
2023Q2,Espagne,ESP,4.3,6.059,1.424,-2.672,2023,2,2023Q2
2023Q3,Espagne,ESP,4.8,5.565,-0.78,-9.294,2023,3,2023Q3
2023Q4,Espagne,ESP,5.169,3.76,0.451,-5.995,2023,4,2023Q4
2003Q1,Pays-Bas,NLD,2.174,1.961,1.657,3.88,2003,1,2003Q1
2003Q2,Pays-Bas,NLD,2.363,1.929,1.418,3.3,2003,2,2003Q2
2003Q3,Pays-Bas,NLD,2.345,1.965,2.301,2.952,2003,3,2003Q3
2003Q4,Pays-Bas,NLD,2.434,2.137,1.746,4.331,2003,4,2003Q4
2004Q1,Pays-Bas,NLD,2.495,1.724,2.131,2.444,2004,1,2004Q1
2004Q2,Pays-Bas,NLD,2.725,2.356,2.457,3.877,2004,2,2004Q2
2004Q3,Pays-Bas,NLD,2.759,1.976,2.375,3.925,2004,3,2004Q3
2004Q4,Pays-Bas,NLD,2.811,2.243,3.083,3.015,2004,4,2004Q4
2005Q1,Pays-Bas,NLD,2.88,2.032,2.27,4.083,2005,1,2005Q1
2005Q2,Pays-Bas,NLD,2.998,1.987,3.011,3.212,2005,2,2005Q2
2005Q3,Pays-Bas,NLD,3.139,2.156,2.313,3.183,2005,3,2005Q3
2005Q4,Pays-Bas,NLD,3.365,1.801,3.126,3.457,2005,4,2005Q4
2006Q1,Pays-Bas,NLD,3.401,2.331,2.776,2.941,2006,1,2006Q1
2006Q2,Pays-Bas,NLD,3.353,1.893,2.572,3.588,2006,2,2006Q2
2006Q3,Pays-Bas,NLD,3.464,2.161,2.479,3.445,2006,3,2006Q3
2006Q4,Pays-Bas,NLD,3.526,2.499,2.951,1.806,2006,4,2006Q4
2007Q1,Pays-Bas,NLD,3.804,1.753,-4.961,0.33,2007,1,2007Q1
2007Q2,Pays-Bas,NLD,3.899,1.97,-5.609,-2.113,2007,2,2007Q2
2007Q3,Pays-Bas,NLD,3.935,2.229,-0.779,1.898,2007,3,2007Q3
2007Q4,Pays-Bas,NLD,4.285,2.107,1.391,2.777,2007,4,2007Q4
2008Q1,Pays-Bas,NLD,4.197,3.372,1.769,1.287,2008,1,2008Q1
2008Q2,Pays-Bas,NLD,3.6,3.046,0.819,1.68,2008,2,2008Q2
2008Q3,Pays-Bas,NLD,3.212,2.852,1.143,1.56,2008,3,2008Q3
2008Q4,Pays-Bas,NLD,2.835,2.269,1.092,2.423,2008,4,2008Q4
2009Q1,Pays-Bas,NLD,2.368,1.707,0.881,2.569,2009,1,2009Q1
2009Q2,Pays-Bas,NLD,1.848,1.095,0.411,3.457,2009,2,2009Q2
2009Q3,Pays-Bas,NLD,1.545,0.58,-0.382,3.688,2009,3,2009Q3
2009Q4,Pays-Bas,NLD,1.065,0.661,-0.079,4.119,2009,4,2009Q4
2010Q1,Pays-Bas,NLD,1.22,1.122,-0.855,2.265,2010,1,2010Q1
2010Q2,Pays-Bas,NLD,1.243,1.5,-0.63,2.556,2010,2,2010Q2
2010Q3,Pays-Bas,NLD,1.177,1.741,-1.105,1.315,2010,3,2010Q3
2010Q4,Pays-Bas,NLD,1.509,1.77,-2.053,1.33,2010,4,2010Q4
2011Q1,Pays-Bas,NLD,1.39,1.515,0.518,3.818,2011,1,2011Q1
2011Q2,Pays-Bas,NLD,1.472,2.161,0.532,4.16,2011,2,2011Q2
2011Q3,Pays-Bas,NLD,1.608,2.417,1.3,2.411,2011,3,2011Q3
2011Q4,Pays-Bas,NLD,1.471,2.654,1.083,2.804,2011,4,2011Q4
2012Q1,Pays-Bas,NLD,1.559,2.554,0.967,3.115,2012,1,2012Q1
2012Q2,Pays-Bas,NLD,1.527,2.203,0.636,3.239,2012,2,2012Q2
2012Q3,Pays-Bas,NLD,1.393,2.555,0.978,2.657,2012,3,2012Q3
2012Q4,Pays-Bas,NLD,1.406,1.845,0.839,3.536,2012,4,2012Q4
2013Q1,Pays-Bas,NLD,1.332,2.238,0.845,2.901,2013,1,2013Q1
2013Q2,Pays-Bas,NLD,1.357,2.231,1.995,3.728,2013,2,2013Q2
2013Q3,Pays-Bas,NLD,1.416,1.896,1.616,3.96,2013,3,2013Q3
2013Q4,Pays-Bas,NLD,1.1,1.851,1.94,3.894,2013,4,2013Q4
2014Q1,Pays-Bas,NLD,1.071,1.555,1.387,3.386,2014,1,2014Q1
2014Q2,Pays-Bas,NLD,1.163,1.792,2.076,3.85,2014,2,2014Q2
2014Q3,Pays-Bas,NLD,0.999,1.238,1.488,3.749,2014,3,2014Q3
2014Q4,Pays-Bas,NLD,1.06,1.656,2.073,3.734,2014,4,2014Q4
2015Q1,Pays-Bas,NLD,0.846,1.326,2.111,3.978,2015,1,2015Q1
2015Q2,Pays-Bas,NLD,0.803,1.758,2.158,5.27,2015,2,2015Q2
2015Q3,Pays-Bas,NLD,0.801,1.066,1.844,4.486,2015,3,2015Q3
2015Q4,Pays-Bas,NLD,0.802,1.312,1.927,3.894,2015,4,2015Q4
2016Q1,Pays-Bas,NLD,0.747,0.965,2.331,4.84,2016,1,2016Q1
2016Q2,Pays-Bas,NLD,0.866,0.893,1.565,3.721,2016,2,2016Q2
2016Q3,Pays-Bas,NLD,0.669,1.194,2.56,5.288,2016,3,2016Q3
2016Q4,Pays-Bas,NLD,0.587,0.339,1.74,4.502,2016,4,2016Q4
2017Q1,Pays-Bas,NLD,0.431,0.578,-13.978,-2.854,2017,1,2017Q1
2017Q2,Pays-Bas,NLD,0.356,0.648,-3.952,2.076,2017,2,2017Q2
2017Q3,Pays-Bas,NLD,0.386,0.556,5.656,4.982,2017,3,2017Q3
2017Q4,Pays-Bas,NLD,0.311,0.882,4.995,4.994,2017,4,2017Q4
2018Q1,Pays-Bas,NLD,0.218,0.449,3.333,4.299,2018,1,2018Q1
2018Q2,Pays-Bas,NLD,0.268,0.429,3.628,5.344,2018,2,2018Q2
2018Q3,Pays-Bas,NLD,-0.022,0.109,2.576,6.17,2018,3,2018Q3
2018Q4,Pays-Bas,NLD,0.089,0.234,3.36,6.801,2018,4,2018Q4
2019Q1,Pays-Bas,NLD,0.146,0.079,2.686,5.371,2019,1,2019Q1
2019Q2,Pays-Bas,NLD,0.001,1.178,2.31,5.048,2019,2,2019Q2
2019Q3,Pays-Bas,NLD,-0.288,2.217,3.141,3.834,2019,3,2019Q3
2019Q4,Pays-Bas,NLD,-0.17,3.034,2.355,4.203,2019,4,2019Q4
2020Q1,Pays-Bas,NLD,-0.107,3.724,1.559,3.558,2020,1,2020Q1
2020Q2,Pays-Bas,NLD,-0.32,4.914,1.836,3.765,2020,2,2020Q2
2020Q3,Pays-Bas,NLD,-0.405,5.08,1.13,3.788,2020,3,2020Q3
2020Q4,Pays-Bas,NLD,-0.363,6.511,1.657,3.619,2020,4,2020Q4
2021Q1,Pays-Bas,NLD,-0.335,7.511,0.542,1.928,2021,1,2021Q1
2021Q2,Pays-Bas,NLD,0.131,7.975,0.896,3.703,2021,2,2021Q2
2021Q3,Pays-Bas,NLD,0.268,9.104,0.842,2.199,2021,3,2021Q3
2021Q4,Pays-Bas,NLD,0.839,10.438,0.701,2.603,2021,4,2021Q4
2022Q1,Pays-Bas,NLD,1.209,9.904,0.104,3.493,2022,1,2022Q1
2022Q2,Pays-Bas,NLD,1.557,9.328,-0.156,1.173,2022,2,2022Q2
2022Q3,Pays-Bas,NLD,2.188,8.468,0.147,-0.037,2022,3,2022Q3
2022Q4,Pays-Bas,NLD,2.338,7.081,0.244,1.667,2022,4,2022Q4
2023Q1,Pays-Bas,NLD,2.959,6.355,0.96,2.731,2023,1,2023Q1
2023Q2,Pays-Bas,NLD,3.421,5.052,0.191,2.906,2023,2,2023Q2
2023Q3,Pays-Bas,NLD,3.845,3.932,0.305,0.644,2023,3,2023Q3
2023Q4,Pays-Bas,NLD,4.04,2.705,0.333,1.913,2023,4,2023Q4
